code,cur_bi,cur_profit
300595,57.14,41.67
300690,65.93,105.88
300559,87.5,128.57
002923,53.6,45.0
300461,128.33,800.0
300578,121.43,450.0
300715,79.12,70.0
000046,114.46,37.26
600675,500.98,2687.23
300391,71.05,108.33
601888,54.73,98.79
603960,70.53,60.0
002803,59.0,284.21
603690,56.76,450.0
300513,261.9,2200.0
603538,63.87,425.0
603429,59.38,35.48
300570,60.14,59.09
600673,93.14,249.23
601330,53.95,66.67
300567,118.93,65.31
300250,69.44,900.0
603797,88.68,78.95
300149,277.22,136.36
300590,78.67,350.0
002812,172.2,783.33
300420,67.59,218.18
601113,136.26,235.71
601100,61.75,107.64
300122,173.75,93.08
603160,114.54,2078.95
603033,61.09,181.25
000712,63.52,140.54
002520,78.11,110.0
600559,55.69,56.0
002698,104.07,319.05
002053,61.68,270.27
300417,72.73,150.0
300630,67.02,125.81
300696,84.21,166.67
600031,75.14,114.73
300010,81.78,61.11
002673,136.59,259.26
000048,87.01,5450.0
002195,196.81,103.23
300725,53.54,70.0
300034,84.57,60.0
603383,62.07,66.67
603200,87.18,46.15
002438,66.94,131.82
603508,150.94,1122.81
603939,66.6,45.54
600368,60.25,321.15
600177,53.27,48.13
300413,239.48,3115.38
002382,117.14,65.52
300632,57.76,116.67
600383,61.96,36.8
600633,76.47,182.02
300525,105.0,76.92
300470,58.52,54.84
600999,77.19,94.78
000922,52.11,86.54
300593,138.89,50.0
000534,4200.0,137.5
603638,67.74,74.51
300631,76.09,66.67
000563,102.95,98.36
300086,112.8,35.0
600837,74.48,117.67
300699,60.52,81.61
600738,60.33,45.61
002605,204.92,278.57
300035,77.36,64.29
000031,285.49,363.95
600909,138.07,200.63
002425,79.31,101.72
300737,64.14,82.61
002797,82.84,314.49
300483,356.18,550.0
002458,193.24,3372.73
600053,78.44,384.78
002738,133.94,2700.0
601099,109.14,7000.0
000166,89.48,87.51
000603,232.35,44.78
300506,71.24,105.88
002322,52.22,164.29
002208,216.93,3566.67
002621,217.95,750.0
002736,60.16,155.07
002836,190.0,75.0
000776,76.99,91.28
000736,106.44,468.75
603299,80.86,374.19
601377,133.41,172.95
002730,64.9,100.0
000728,56.35,154.22
300533,72.88,52.63
300537,55.07,88.89
600369,58.64,57.63
000036,95.59,159.05
002444,65.08,30.77
000750,64.57,78.57
002926,53.38,64.81
600958,109.26,191.28
000783,76.06,137.58
603398,105.88,242.86
603988,77.33,233.33
600624,120.26,50.0
300659,71.79,44.44
300688,69.23,150.0
600727,119.13,56.0
002591,62.3,314.29
601198,56.08,100.36
002575,inf,inf
600643,191.6,49.15
000925,69.41,900.0
603063,172.0,52.38
300487,85.61,180.0
300702,66.56,540.0
601555,81.31,938.98
002669,56.82,160.0
000779,619.7,5400.0
002755,1696.77,3660.0
000661,72.0,73.81
601588,191.84,355.56
