,name,type,report_date,pre_eps,range,industry,area,pe,cur_bi,cur_profit
0,三一重工,预增,2018-10-24,0.23600000000000002,160%~180%,工程机械,北京,9.52,62.39,356.04
1,用友网络,预盈,2018-10-18,-0.18,0,软件服务,北京,175.62,33.54,125.24
2,当代明诚,预增,2018-10-16,0.1,139.79%~199.74%,影视音像,湖北,22.16,319.42,165.0
3,赛摩电气,预升,2018-10-15,0.0404,0%~20%,电器仪表,江苏,72.18,59.76,366.67
4,中文在线,预升,2018-10-15,0.0522,0%~12.3%,出版业,北京,35.82,46.6,176.67
5,艾德生物,预升,2018-10-15,0.8483,38.52%~41.47%,生物制药,福建,55.23,31.03,60.71
6,金盾股份,预增,2018-10-15,0.22,85.46%~114%,专用机械,浙江,45.19,88.04,172.73
7,蓝光发展,预增,2018-10-15,0.2241,92%~137%,区域地产,四川,10.35,49.47,93.9
8,东方财富,预增,2018-10-15,0.107,70.46%~81.39%,互联网,上海,48.99,43.15,61.25
9,鲁亿通,预增,2018-10-15,0.1514,1936%~1966%,电气设备,山东,12.57,845.24,1885.71
10,新研股份,预升,2018-10-15,0.1722,20%~40%,农用机械,新疆,29.25,42.43,51.65
11,佩蒂股份,预增,2018-10-15,0.95,64.27%~74.11%,饲料,浙江,38.78,43.83,58.33
12,风华高科,预增,2018-10-15,0.2,371.19%~393.1%,元器件,广东,13.61,45.94,249.41
13,华测检测,预增,2018-10-15,0.06,50.06%~68.11%,电器仪表,深圳,87.73,34.95,108.33
14,乐普医疗,预增,2018-10-15,0.4151,54.89,医疗保健,北京,30.97,31.97,92.78
15,优博讯,预增,2018-10-15,0.15,130%~150%,软件服务,深圳,39.01,111.11,100.0
16,中海达,预增,2018-10-13,0.092,82.52%~94.39%,通信设备,广东,41.59,42.74,63.16
17,三湘印象,预增,2018-10-13,0.04,51.24%~95.15%,区域地产,上海,68.32,190.32,1571.43
18,丝路视觉,预增,2018-10-13,0.11,228.36%~257.78%,软件服务,深圳,25.88,32.91,76.67
19,三诺生物,预升,2018-10-13,0.5696,0%~30%,医疗保健,湖南,21.72,72.97,73.47
20,溢多利,预增,2018-10-13,0.1067,65%~75%,饲料,广东,46.86,37.69,100.0
21,阳谷华泰,预增,2018-10-13,0.452,140%~155%,化工原料,山东,8.32,40.96,153.19
22,先导智能,预增,2018-10-13,0.6788,80%~110%,专用机械,江苏,29.06,117.17,75.0
23,天山生物,预增,2018-10-13,0.019,1142.67%~1172%,农业综合,新疆,95.17,269.39,171.43
24,维尔利,预增,2018-10-13,0.26,35%~65%,环境保护,江苏,18.98,124.8,62.16
25,建新股份,预增,2018-10-13,0.063,1327.06%~1338.7%,化工原料,河北,12.31,173.33,1026.67
26,建新股份,预增,2018-10-11,0.063,1297.93%~1341.61%,化工原料,河北,12.31,173.33,1026.67
27,辰安科技,预增,2018-10-13,0.01,4903.1%~4927.93%,软件服务,北京,82.64,57.02,542.86
28,西部创业,预增,2018-10-13,0.025,0,铁路,宁夏,58.32,40.0,123.08
29,银之杰,预减,2018-10-13,0.039,-92.56%~-77.67%,软件服务,深圳,2373.85,37.31,466.67
30,移为通信,预升,2018-10-13,0.3895,27.24%~35.33%,通信设备,上海,31.58,37.8,59.26
31,再升科技,预增,2018-10-13,0.2078,50%~60%,玻璃,重庆,20.9,160.63,62.96
32,东北制药,预增,2018-10-13,0.17,88%~100%,化学制药,辽宁,27.53,34.6,120.69
33,我爱我家,预增,2018-10-13,0.0395,916.7%~1046.49%,房产服务,云南,19.71,853.72,1563.64
34,菲利华,预增,2018-10-13,0.2653,30%~60%,玻璃,湖北,24.65,35.86,52.63
35,新天科技,预升,2018-10-13,0.18,0%~20%,电器仪表,河南,27.6,44.36,110.53
