code,cur_bi,cur_profit
300685,31.03,60.71
300567,84.44,119.35
300595,56.45,54.84
300500,75.59,52.17
300523,57.02,542.86
300302,89.83,inf
300391,31.96,74.19
300232,72.94,71.26
300311,39.58,80.0
300398,175.54,720.0
300506,214.47,206.38
300137,38.84,58.33
300210,48.15,125.0
300107,173.33,1026.67
300085,37.31,466.67
300556,32.91,76.67
300121,40.96,153.19
300423,845.24,1885.71
300596,41.3,88.89
300132,49.76,186.67
300347,44.33,61.84
300510,95.83,100.0
300043,46.88,138.3
300176,96.89,384.85
300381,37.69,100.0
300349,50.6,135.29
300159,42.43,51.65
300630,91.46,85.71
300259,44.36,110.53
300130,104.52,92.31
300324,36.0,74.19
300411,88.04,172.73
300190,124.8,62.16
300203,32.65,52.87
300618,191.98,218.6
300223,53.66,350.0
300437,138.8,210.53
300316,54.09,85.19
300389,60.63,268.18
300590,37.8,59.26
300466,59.76,366.67
300461,93.75,414.29
300459,129.57,168.37
300413,605.47,5490.0
300384,172.22,60.0
300364,46.6,176.67
300313,269.39,171.43
300192,95.83,6000.0
300177,42.74,63.16
300164,142.33,244.44
300149,138.16,104.76
300089,158.26,281.82
300651,70.49,57.14
300450,117.17,75.0
300637,36.0,207.69
300559,103.28,90.91
300650,56.94,55.56
300427,261.9,210.0
300472,46.99,150.0
300315,78.92,137.14
300673,43.83,58.33
300012,34.95,108.33
300059,43.15,61.25
300285,39.52,197.1
300531,111.11,100.0
300546,60.87,100.0
300570,33.06,51.85
300408,53.48,51.52
300470,44.17,59.26
300122,336.04,281.08
300395,35.86,52.63
300513,104.58,320.0
300365,58.25,53.66
300467,297.78,246.67
300298,72.97,73.47
300003,31.97,92.78
