code,name,industry,area,pe,pre_bi,cur_bi,pre_profit,cur_profit
300595,欧普康视,医疗保健,安徽,44.91,43.82,57.14,34.21,41.67
300559,佳发教育,软件服务,四川,50.62,63.33,87.5,42.42,128.57
300715,凯伦股份,其他建材,江苏,47.32,70.83,79.12,50.0,70.
300513,恒泰实达,软件服务,北京,45.08,68.83,261.9,32.26,2200.0
300735,光弘科技,通信设备,广东,28.09,64.34,63.94,190.91,272.73
300570,太辰光,元器件,深圳,27.64,142.52,60.14,104.55,59.09
300567,精测电子,电器仪表,湖北,40.88,34.56,118.93,88.46,65.31
300149,量子生物,食品,广东,67.93,364.2,277.22,512.5,136.36
300035,中科电气,电气设备,湖南,23.23,34.46,77.36,728.57,64.29
300487,蓝晓科技,化工原料,陕西,40.68,89.38,85.61,250.0,180.0
