code,name,industry,area,pe,cur_bi,cur_profit
300595,欧普康视,医疗保健,安徽,44.91,57.14,41.67
300690,双一科技,电气设备,山东,23.96,65.93,105.88
300559,佳发教育,软件服务,四川,50.62,87.5,128.57
002923,润都股份,化学制药,广东,32.0,53.6,45.0
300461,田中精机,专用机械,浙江,34.37,128.33,800.0
300578,会畅通讯,通信设备,上海,59.37,121.43,450.0
300715,凯伦股份,其他建材,江苏,47.32,79.12,70.0
000046,泛海控股,全国地产,北京,9.39,114.46,37.26
600675,中华企业,区域地产,上海,14.54,500.98,2687.23
300391,康跃科技,机械基件,山东,15.61,71.05,108.33
601888,中国国旅,旅游服务,北京,32.18,54.73,98.79
603960,克来机电,专用机械,上海,63.64,70.53,60.0
002803,吉宏股份,广告包装,福建,17.27,59.0,284.21
603690,至纯科技,专用机械,上海,113.03,56.76,450.0
300513,恒泰实达,软件服务,北京,45.08,261.9,2200.0
603538,美诺华,化学制药,浙江,30.13,63.87,425.0
603429,集友股份,广告包装,安徽,55.3,59.38,35.48
300570,太辰光,元器件,深圳,27.64,60.14,59.09
600673,东阳光科,铝,广东,31.79,93.14,249.23
601330,绿色动力,环境保护,深圳,49.57,53.95,66.67
300567,精测电子,电器仪表,湖北,40.88,118.93,65.31
300250,初灵信息,软件服务,浙江,64.31,69.44,900.0
603797,联泰环保,环境保护,广东,34.62,88.68,78.95
300149,量子生物,食品,广东,67.93,277.22,136.36
300590,移为通信,通信设备,上海,31.58,78.67,350.0
002812,创新股份,广告包装,云南,212.17,172.2,783.33
300420,五洋停车,机械基件,江苏,31.51,67.59,218.18
601113,华鼎股份,化纤,浙江,29.2,136.26,235.71
601100,恒立液压,工程机械,江苏,19.74,61.75,107.64
300122,智飞生物,生物制药,重庆,47.26,173.75,93.08
603160,汇顶科技,元器件,深圳,145.63,114.54,2078.95
603033,三维股份,橡胶,浙江,22.57,61.09,181.25
000712,锦龙股份,证券,广东,0.0,63.52,140.54
002520,日发精机,机床制造,浙江,35.55,78.11,110.0
600559,老白干酒,白酒,河北,37.73,55.69,56.0
002698,博实股份,化工机械,黑龙江,32.72,104.07,319.05
002053,云南能投,食品,云南,33.79,61.68,270.27
300417,南华仪器,电器仪表,广东,40.26,72.73,150.0
300630,普利制药,化学制药,海南,72.17,67.02,125.81
300696,爱乐达,航空,四川,34.79,84.21,166.67
600031,三一重工,工程机械,北京,9.52,75.14,114.73
300010,立思辰,软件服务,北京,0.0,81.78,61.11
002673,西部证券,证券,陕西,49.53,136.59,259.26
000048,*ST康达,饲料,深圳,57.85,87.01,5450.0
002195,二三四五,软件服务,上海,13.78,196.81,103.23
300725,药石科技,化工原料,江苏,53.25,53.54,70.0
300034,钢研高纳,小金属,北京,41.82,84.57,60.0
603383,顶点软件,软件服务,福建,37.41,62.07,66.67
603200,上海洗霸,环境保护,上海,23.28,87.18,46.15
002438,江苏神通,机械基件,江苏,36.4,66.94,131.82
603508,思维列控,软件服务,河南,24.66,150.94,1122.81
603939,益丰药房,医药商业,湖南,39.95,66.6,45.54
600368,五洲交通,路桥,广西,7.12,60.25,321.15
600177,雅戈尔,服饰,浙江,8.35,53.27,48.13
300413,芒果超媒,影视音像,湖南,29.16,239.48,3115.38
002382,蓝帆医疗,医疗保健,山东,58.77,117.14,65.52
300632,光莆股份,半导体,福建,22.95,57.76,116.67
600383,金地集团,全国地产,深圳,7.71,61.96,36.8
600633,浙数文化,互联网,浙江,16.89,76.47,182.02
300525,博思软件,软件服务,福建,0.0,105.0,76.92
300470,日机密封,机械基件,四川,30.98,58.52,54.84
600999,招商证券,证券,深圳,22.27,77.19,94.78
000922,*ST佳电,电气设备,黑龙江,10.08,52.11,86.54
300593,新雷能,电气设备,北京,39.11,138.89,50.0
000534,万泽股份,区域地产,广东,122.74,4200.0,137.5
603638,艾迪精密,专用机械,山东,29.65,67.74,74.51
300631,久吾高科,环境保护,江苏,70.78,76.09,66.67
000563,陕国投Ａ,多元金融,陕西,23.7,102.95,98.36
300086,康芝药业,化学制药,海南,39.0,112.8,35.0
600837,海通证券,证券,上海,14.8,74.48,117.67
300699,光威复材,化工原料,山东,32.03,60.52,81.61
600738,兰州民百,百货,甘肃,37.03,60.33,45.61
002605,姚记扑克,文教休闲,上海,27.31,204.92,278.57
300035,中科电气,电气设备,湖南,23.23,77.36,64.29
000031,中粮地产,全国地产,深圳,7.09,285.49,363.95
600909,华安证券,证券,安徽,32.22,138.07,200.63
002425,凯撒文化,互联网,广东,16.22,79.31,101.72
300737,科顺股份,其他建材,广东,21.08,64.14,82.61
002797,第一创业,证券,深圳,107.7,82.84,314.49
300483,沃施股份,专用机械,上海,104.84,356.18,550.0
002458,益生股份,农业综合,山东,68.52,193.24,3372.73
600053,九鼎投资,多元金融,江西,25.54,78.44,384.78
002738,中矿资源,建筑施工,北京,83.03,133.94,2700.0
601099,太平洋,证券,云南,0.0,109.14,7000.0
000166,申万宏源,证券,新疆,21.38,89.48,87.51
000603,盛达矿业,铅锌,北京,20.64,232.35,44.78
300506,名家汇,建筑施工,深圳,14.9,71.24,105.88
002322,理工环科,环境保护,浙江,22.72,52.22,164.29
002208,合肥城建,区域地产,安徽,8.37,216.93,3566.67
002621,三垒股份,专用机械,辽宁,300.91,217.95,750.0
002736,国信证券,证券,深圳,25.11,60.16,155.07
002836,新宏泽,广告包装,广东,64.22,190.0,75.0
000776,广发证券,证券,广东,17.04,76.99,91.28
000736,中交地产,全国地产,重庆,6.48,106.44,468.75
603299,井神股份,化工原料,江苏,15.81,80.86,374.19
601377,兴业证券,证券,福建,19.07,133.41,172.95
002730,电光科技,电气设备,浙江,35.71,64.9,100.0
000728,国元证券,证券,安徽,41.91,56.35,154.22
300533,冰川网络,软件服务,深圳,31.02,72.88,52.63
300537,广信材料,染料涂料,江苏,27.7,55.07,88.89
600369,西南证券,证券,重庆,27.61,58.64,57.63
000036,华联控股,全国地产,深圳,6.47,95.59,159.05
002444,巨星科技,轻工机械,浙江,13.13,65.08,30.77
000750,国海证券,证券,广西,58.45,64.57,78.57
002926,华西证券,证券,四川,18.14,53.38,64.81
600958,东方证券,证券,上海,37.38,109.26,191.28
000783,长江证券,证券,湖北,31.39,76.06,137.58
603398,邦宝益智,文教休闲,广东,67.67,105.88,242.86
603988,中电电机,电气设备,江苏,42.46,77.33,233.33
600624,复旦复华,综合类,上海,67.88,120.26,50.0
300659,中孚信息,软件服务,山东,0.0,71.79,44.44
300688,创业黑马,综合类,北京,71.54,69.23,150.0
600727,鲁北化工,农药化肥,山东,18.79,119.13,56.0
002591,恒大高新,化工原料,江西,50.8,62.3,314.29
601198,东兴证券,证券,北京,20.5,56.08,100.36
002575,群兴玩具,文教休闲,广东,251.77,inf,inf
600643,爱建集团,多元金融,上海,12.42,191.6,49.15
000925,众合科技,专用机械,浙江,76.22,69.41,900.0
603063,禾望电气,电气设备,深圳,31.51,172.0,52.38
300487,蓝晓科技,化工原料,陕西,40.68,85.61,180.0
300702,天宇股份,化学制药,浙江,39.71,66.56,540.0
601555,东吴证券,证券,江苏,299.96,81.31,938.98
002669,康达新材,化工原料,上海,30.94,56.82,160.0
000779,三毛派神,纺织,甘肃,0.0,619.7,5400.0
002755,东方新星,建筑施工,北京,135.97,1696.77,3660.0
000661,长春高新,生物制药,吉林,28.33,72.0,73.81
601588,北辰实业,区域地产,北京,7.1,191.84,355.56
