code,name,industry,area,pe,cur_bi,cur_profit
603367,辰欣药业,化学制药,山东,15.54,31.62,51.32
300595,欧普康视,医疗保健,安徽,44.91,56.45,54.84
300559,佳发教育,软件服务,四川,50.62,103.28,90.91
300461,田中精机,专用机械,浙江,34.37,93.75,414.29
002545,东方铁塔,钢加工,山东,26.03,56.97,154.72
000789,万年青,水泥,江西,7.58,49.18,255.56
300523,辰安科技,软件服务,北京,82.64,57.02,542.86
300637,扬帆新材,化工原料,浙江,22.09,36.0,207.69
002849,威星智能,电器仪表,浙江,29.32,106.54,61.54
603639,海利尔,农药化肥,山东,10.14,54.98,72.41
300389,艾比森,半导体,深圳,23.73,60.63,268.18
600801,华新水泥,水泥,湖北,7.66,34.12,142.97
600585,海螺水泥,水泥,安徽,7.24,47.66,78.88
002761,多喜爱,纺织,湖南,95.45,51.3,466.67
603707,健友股份,化学制药,江苏,23.51,59.23,56.72
603568,伟明环保,环境保护,浙江,20.27,67.2,56.35
300391,康跃科技,机械基件,山东,15.61,31.96,74.19
600603,广汇物流,仓储物流,四川,15.28,174.85,85.71
002803,吉宏股份,广告包装,福建,17.27,167.16,463.64
300059,东方财富,互联网,上海,48.99,43.15,61.25
600777,新潮能源,综合类,山东,35.38,1936.21,642.86
300513,恒泰实达,软件服务,北京,45.08,104.58,320.0
300381,溢多利,饲料,广东,46.86,37.69,100.0
600802,福建水泥,水泥,福建,6.63,93.16,inf
300531,优博讯,软件服务,深圳,39.01,111.11,100.0
600486,扬农化工,农药化肥,江苏,12.15,55.99,134.96
300650,太龙照明,电气设备,福建,32.58,56.94,55.56
300570,太辰光,元器件,深圳,27.64,33.06,51.85
002399,海普瑞,化学制药,深圳,51.4,103.03,785.0
600763,通策医疗,医疗保健,浙江,58.55,42.26,58.7
300012,华测检测,电器仪表,深圳,87.73,34.95,108.33
002233,塔牌集团,水泥,广东,8.14,69.9,180.0
300567,精测电子,电器仪表,湖北,40.88,84.44,119.35
300384,三联虹普,纺织机械,北京,27.64,172.22,60.0
600315,上海家化,日用化工,上海,27.99,37.58,53.7
002371,北方华创,专用机械,北京,77.76,35.02,103.92
000560,我爱我家,房产服务,云南,19.71,853.72,1563.64
300149,量子生物,食品,广东,67.93,138.16,104.76
603605,珀莱雅,日用化工,浙江,28.5,41.58,68.57
300459,金科文化,化工原料,浙江,11.59,129.57,168.37
300347,泰格医药,医疗保健,浙江,51.84,44.33,61.84
600779,水井坊,白酒,四川,29.74,33.03,413.64
000858,五 粮 液,白酒,四川,16.43,37.75,55.22
300590,移为通信,通信设备,上海,31.58,37.8,59.26
000537,广宇发展,区域地产,天津,3.95,332.54,657.73
603086,先达股份,农药化肥,山东,9.69,59.27,224.14
300596,利安隆,化工原料,天津,25.6,41.3,88.89
300316,晶盛机电,专用机械,浙江,20.67,54.09,85.19
002038,双鹭药业,生物制药,北京,26.82,125.42,58.49
300130,新国都,电脑设备,深圳,37.73,104.52,92.31
300003,乐普医疗,医疗保健,北京,30.97,31.97,92.78
600809,山西汾酒,白酒,山西,17.55,45.32,69.4
300427,红相股份,电气设备,福建,14.83,261.9,210.0
600426,华鲁恒升,农药化肥,山东,8.26,57.83,307.76
000596,古井贡酒,白酒,安徽,20.87,48.5,120.57
300398,飞凯材料,染料涂料,上海,21.07,175.54,720.0
002422,科伦药业,化学制药,四川,22.02,53.91,510.94
300395,菲利华,玻璃,湖北,24.65,35.86,52.63
300618,寒锐钴业,小金属,江苏,17.82,191.98,218.6
601100,恒立液压,工程机械,江苏,19.74,48.69,200.98
600256,广汇能源,石油开采,新疆,19.31,75.76,326.58
300122,智飞生物,生物制药,重庆,47.26,336.04,281.08
000636,风华高科,元器件,广东,13.61,45.94,249.41
300159,新研股份,农用机械,新疆,29.25,42.43,51.65
300285,国瓷材料,陶瓷,山东,19.18,39.52,197.1
300437,清水源,化工原料,河南,12.7,138.8,210.53
300408,三环集团,元器件,广东,29.72,53.48,51.52
300132,青松股份,化工原料,福建,17.02,49.76,186.67
600332,白云山,中成药,广东,10.49,36.11,154.68
002373,千方科技,软件服务,北京,26.55,239.66,98.92
002044,美年健康,医疗保健,江苏,143.47,112.01,100.0
300190,维尔利,环境保护,江苏,18.98,124.8,62.16
603338,浙江鼎力,专用机械,浙江,29.98,58.0,64.63
300423,鲁亿通,电气设备,山东,12.57,845.24,1885.71
000690,宝新能源,火力发电,广东,14.5,53.45,75.93
000597,东北制药,化学制药,辽宁,27.53,34.6,120.69
600559,老白干酒,白酒,河北,37.73,75.0,1083.33
002698,博实股份,化工机械,黑龙江,32.72,38.46,117.86
600886,国投电力,水力发电,北京,15.47,32.49,61.39
300630,普利制药,化学制药,海南,72.17,91.46,85.71
600588,用友网络,软件服务,北京,175.62,33.54,125.24
