code,name,industry,area,pe,pre_bi,cur_bi,pre_profit,cur_profit
300595,欧普康视,医疗保健,安徽,44.91,43.82,57.14,34.21,41.67
300559,佳发教育,软件服务,四川,50.62,63.33,87.5,42.42,128.57
300715,凯伦股份,其他建材,江苏,47.32,70.83,79.12,50.0,70.0
600675,中华企业,区域地产,上海,14.54,307.41,500.98,2304.05,2687.23
002803,吉宏股份,广告包装,福建,17.27,49.66,59.0,95.24,284.21
300513,恒泰实达,软件服务,北京,45.08,68.83,261.9,32.26,2200.0
300531,优博讯,软件服务,深圳,39.01,58.28,160.66,125.0,84.62
300735,光弘科技,通信设备,广东,28.09,64.34,63.94,190.91,272.73
603538,美诺华,化学制药,浙江,30.13,64.77,63.87,255.56,425.0
603429,集友股份,广告包装,安徽,55.3,132.88,59.38,42.86,35.48
300570,太辰光,元器件,深圳,27.64,142.52,60.14,104.55,59.09
300567,精测电子,电器仪表,湖北,40.88,34.56,118.93,88.46,65.31
300149,量子生物,食品,广东,67.93,364.2,277.22,512.5,136.36
002812,创新股份,广告包装,云南,212.17,121.75,172.2,262.96,783.33
300130,新国都,电脑设备,深圳,37.73,63.11,150.58,408.0,566.67
300122,智飞生物,生物制药,重庆,47.26,201.92,173.75,148.3,93.08
603160,汇顶科技,元器件,深圳,145.63,64.16,114.54,241.94,2078.95
603909,合诚股份,建筑施工,福建,233.12,151.79,89.61,106.25,100.0
002520,日发精机,机床制造,浙江,35.55,317.58,78.11,780.0,110.0
600559,老白干酒,白酒,河北,37.73,42.93,55.69,125.53,56.0
300630,普利制药,化学制药,海南,72.17,76.19,67.02,57.89,125.81
600031,三一重工,工程机械,北京,9.52,44.89,75.14,325.17,114.73
300725,药石科技,化工原料,江苏,53.25,80.52,53.54,160.0,70.0
603200,上海洗霸,环境保护,上海,23.28,80.77,87.18,75.0,46.15
002382,蓝帆医疗,医疗保健,山东,58.77,105.74,117.14,104.76,65.52
002127,南极电商,互联网,江苏,27.13,123.97,63.49,50.17,37.08
300632,光莆股份,半导体,福建,22.95,102.92,57.76,487.5,116.67
300525,博思软件,软件服务,福建,0.0,85.47,105.0,97.62,76.92
603638,艾迪精密,专用机械,山东,29.65,58.48,67.74,35.14,74.51
600378,天科股份,化工原料,四川,46.25,1784.65,985.42,1415.62,1760.0
300035,中科电气,电气设备,湖南,23.23,34.46,77.36,728.57,64.29
600909,华安证券,证券,安徽,32.22,40.05,138.07,317.02,200.63
002738,中矿资源,建筑施工,北京,83.03,93.69,133.94,100.0,2700.0
000603,盛达矿业,铅锌,北京,20.64,173.21,232.35,45.87,44.78
600643,爱建集团,多元金融,上海,12.42,187.78,191.6,38.06,49.15
300487,蓝晓科技,化工原料,陕西,40.68,89.38,85.61,250.0,180.0
002755,东方新星,建筑施工,北京,135.97,2850.82,1696.77,16400.0,3660.0
