code,name,industry,area,pe,cur_bi,cur_profit
300595,欧普康视,医疗保健,安徽,44.91,51.46,51.85
300559,佳发教育,软件服务,四川,50.62,233.33,75.0
300461,田中精机,专用机械,浙江,34.37,177.1,687.5
000789,万年青,水泥,江西,7.58,56.52,143.54
300523,辰安科技,软件服务,北京,82.64,99.04,225.0
002867,周大生,服饰,深圳,20.91,36.25,59.21
300394,天孚通信,通信设备,江苏,39.53,46.25,60.87
002859,洁美科技,元器件,浙江,44.09,57.2,94.12
300389,艾比森,半导体,深圳,23.73,33.15,252.38
600801,华新水泥,水泥,湖北,7.66,43.83,317.08
600585,海螺水泥,水泥,安徽,7.24,76.77,151.42
002761,多喜爱,纺织,湖南,95.45,44.67,150.0
002376,新北洋,电脑设备,山东,31.22,34.73,50.88
600771,广誉远,中成药,青海,38.51,56.84,228.0
600161,天坛生物,生物制药,北京,36.15,136.16,54.46
603568,伟明环保,环境保护,浙江,20.27,65.13,53.79
002258,利尔化学,农药化肥,四川,19.16,31.31,97.5
001979,招商蛇口,全国地产,深圳,9.35,80.42,359.52
603313,梦百合,家居用品,江苏,55.33,33.28,125.0
600603,广汇物流,仓储物流,四川,15.28,107.76,90.0
002803,吉宏股份,广告包装,福建,17.27,112.58,163.16
300656,民德电子,电脑设备,深圳,35.89,341.67,112.5
600777,新潮能源,综合类,山东,35.38,200.0,432.47
000401,冀东水泥,水泥,河北,14.07,194.8,109.07
603505,金石资源,矿物制品,浙江,36.75,102.74,86.67
300381,溢多利,饲料,广东,46.86,33.43,86.96
300531,优博讯,软件服务,深圳,39.01,248.08,261.54
603360,百傲化学,化工原料,辽宁,16.47,43.81,66.67
002399,海普瑞,化学制药,深圳,51.4,79.95,415.56
600673,东阳光科,铝,广东,31.79,102.18,290.52
300012,华测检测,电器仪表,深圳,87.73,32.15,83.33
002233,塔牌集团,水泥,广东,8.14,39.35,99.48
000672,上峰水泥,水泥,甘肃,7.2,37.52,110.82
601330,绿色动力,环境保护,深圳,49.57,71.6,711.11
300384,三联虹普,纺织机械,北京,27.64,285.71,58.82
600315,上海家化,日用化工,上海,27.99,41.19,59.3
002371,北方华创,专用机械,北京,77.76,40.08,85.19
300149,量子生物,食品,广东,67.93,429.41,241.18
603636,南威软件,软件服务,福建,93.12,113.48,292.0
002020,京新药业,化学制药,浙江,17.33,50.64,62.03
603669,灵康药业,化学制药,西藏,24.97,49.59,155.26
002653,海思科,化学制药,西藏,41.21,87.21,110.67
300703,创源文化,文教休闲,浙江,28.19,31.69,133.33
002626,金达威,食品,福建,7.79,60.52,76.92
000886,海南高速,路桥,海南,24.56,68.18,326.32
300590,移为通信,通信设备,上海,31.58,67.14,112.5
002113,天润数娱,互联网,湖南,120.89,282.05,500.0
000537,广宇发展,区域地产,天津,3.95,206.34,507.62
002812,创新股份,广告包装,云南,212.17,273.74,659.46
300596,利安隆,化工原料,天津,25.6,34.52,72.22
600702,舍得酒业,白酒,四川,23.07,56.87,224.24
300130,新国都,电脑设备,深圳,37.73,158.61,287.5
600809,山西汾酒,白酒,山西,17.55,30.59,60.29
300427,红相股份,电气设备,福建,14.83,134.26,380.0
600426,华鲁恒升,农药化肥,山东,8.26,52.98,183.11
300420,五洋停车,机械基件,江苏,31.51,38.1,78.95
300492,山鼎设计,建筑施工,四川,101.84,44.12,100.0
300398,飞凯材料,染料涂料,上海,21.07,56.33,296.0
002422,科伦药业,化学制药,四川,22.02,49.56,91.54
300395,菲利华,玻璃,湖北,24.65,34.72,52.0
300253,卫宁健康,软件服务,上海,83.36,40.52,64.44
603127,昭衍新药,医疗保健,北京,112.72,45.33,59.09
601100,恒立液压,工程机械,江苏,19.74,49.1,122.61
600256,广汇能源,石油开采,新疆,19.31,64.79,257.97
600848,上海临港,园区开发,上海,63.95,36.72,76.7
300122,智飞生物,生物制药,重庆,47.26,339.2,257.52
603838,四通股份,陶瓷,广东,36.38,38.14,112.5
300401,花园生物,食品,浙江,22.78,101.3,157.14
000636,风华高科,元器件,广东,13.61,74.6,567.61
300529,健帆生物,医疗保健,广东,40.48,48.47,77.78
300285,国瓷材料,陶瓷,山东,19.18,35.31,91.67
300437,清水源,化工原料,河南,12.7,135.66,221.43
603208,江山欧派,家居用品,浙江,14.69,44.87,66.67
300132,青松股份,化工原料,福建,17.02,79.53,290.32
002373,千方科技,软件服务,北京,26.55,191.95,110.31
603338,浙江鼎力,专用机械,浙江,29.98,72.52,144.87
300423,鲁亿通,电气设备,山东,12.57,1229.41,2033.33
603909,合诚股份,建筑施工,福建,233.12,102.63,70.59
