code,pre_bi,cur_bi,pre_profit,cur_profit
300595,32.76,56.45,33.33,54.84
300398,227.27,175.54,386.67,720.0
300506,62.77,214.47,70.0,206.38
300107,176.77,173.33,2180.0,1026.67
300423,1178.38,845.24,2133.33,1885.71
300510,141.94,95.83,240.0,100.0
300176,184.39,96.89,1607.69,384.85
300349,36.46,50.6,100.0,135.29
300120,234.29,158.33,283.33,190.0
300630,95.83,91.46,210.0,85.71
300130,32.82,104.52,50.0,92.31
300411,40.91,88.04,150.0,172.73
300217,38.48,53.62,100.0,126.92
300618,219.05,191.98,410.0,218.6
300583,133.98,57.64,650.0,66.67
300437,166.13,138.8,455.56,210.53
300316,53.39,54.09,121.31,85.19
300389,69.54,60.63,69.23,268.18
300459,96.3,129.57,173.58,168.37
300197,69.93,79.3,1700.0,67.4
300192,133.66,95.83,33.33,6000.0
300473,365.56,62.72,53.33,60.61
300450,150.76,117.17,90.11,75.0
300559,135.29,103.28,250.0,90.91
300650,38.0,56.94,100.0,55.56
300388,87.16,70.32,104.55,141.03
300531,56.41,111.11,73.33,100.0
300655,45.95,54.14,50.0,87.5
300122,417.28,336.04,333.33,281.08
300513,121.05,104.58,inf,320.0
300365,61.0,58.25,66.67,53.66
300467,316.67,297.78,225.0,246.67
300298,33.76,72.97,84.44,73.47
